model,MAE_lat,MAE_lon,RMSE_lat,RMSE_lon,haversine_mean_m,haversine_median_m,haversine_p90_m
Naive Baseline (last=next),4.6741697417041295e-06,5.543911439121083e-06,8.784399959949795e-06,1.0796029063660747e-05,0.8742404897824193,0.8269125754863902,1.3176992804356147
Linear Regression,2.705623009709358e-06,3.409891156996551e-06,8.619204319419948e-06,9.155342653566013e-06,0.5110157715004895,0.3726523390503127,0.8142798671463111
Random Forest,1.642427282079814e-05,1.9180654542847626e-05,2.5907224689089364e-05,2.9539085553714012e-05,3.018925469446219,2.371569391603816,6.088774894164623
Extra Trees,1.4726430715957286e-05,1.7504792029703284e-05,2.1331411882116575e-05,2.7108675813469245e-05,2.6820877507690155,2.2297538083877173,5.031688749566834
LSTM_MSEx10,9.246349521086415e-05,0.0011543607853400227,0.00012299699641876206,0.0011762355672956365,120.00570555246436,117.52111174929263,152.21216644451337
LSTM_MSEx100,0.00034157797932638764,0.0008437205558298176,0.0003851537543398826,0.0008705569318563252,98.27359924276222,97.85499588469388,118.69518523911954
LSTM_MSEx1K,0.0003660939464385865,0.0007354042680465784,0.000405793566377409,0.0007600335316485426,89.4241676369811,90.8713850517168,107.55813112378027
LSTM_MSEx10K,0.00021589099058029034,0.0009121261013354679,0.00024799154777382286,0.0009332710173506403,98.58038003128985,97.64521131876604,122.71608619911896
LSTM_MSEx100K,0.00017025147182561185,0.0009514357824571814,0.00018901116620344654,0.0009674333740505092,100.75769045601571,99.87695159130885,123.2977158451515
